No.,domain,name
244,sdust.edu.cn,Shandong University of Science and Technology
245,sdutcm.edu.cn,Shandong University of Triaditional Chinese Medicine
246,sdut.edu.cn,Shandong University of Technology
247,sdufe.edu.cn,Shandong University of Finance and Economics
248,seu.edu.cn,Southeast University
249,sgu.edu.cn,Shaoguan University
250,shanghai_edu.customs.gov.cn,Shanghai Customs College
251,shfu.edu.cn,Shanghai Fisheries University
252,shift.edu.cn,Shanghai Institue of Foreign Trade
253,shisu.edu.cn,Shanghai International Studies University
254,shmtu.edu.cn,Shanghai Maritime University
255,shmu.edu.cn,Shanghai Medical University
256,shouhua.net.cn,Shanghai Ouhua Vocational Technical College
257,sh-sipopolytechnic.com,Shanghai Sipo Polytechnic
258,shsmu.edu.cn,Shanghai Second Medical University
259,shspu.edu.cn,Shanghai Second Polytechnic University
260,shtdu.edu.cn,Shanghai TieDao University
261,shtu.edu.cn,Shanghai Normal University
262,shtvu.edu.cn,Shanghai Television University
263,shu.edu.cn,Shanghai University
264,shufe.edu.cn,Shanghai University of Finance and Economics
265,shutcm.edu.cn,Shanghai University of Traditional Chinese Medicine and Pharmacology
266,shzu.edu.cn,Shihezi University
267,sicau.edu.cn,Sichuan Agricultural University
268,sicnu.edu.cn,Sichuan Normal University
269,sisu.edu.cn,Sichuan International Studies University
270,sjtu.edu.cn,Shanghai Jiaotong University
271,sjzu.edu.cn,Shenyang Jianzhu University
272,smmu.edu.cn,2nd Military Medical University
273,snnu.edu.cn,Shaanxi Normal University
274,snnu.edu.cn,Shanxi Normal University
275,stu.edu.cn,Shantou University
276,suda.edu.cn,Suzhou University
277,sues.edu.cn,Shanghai University of Engineering Science
278,sustc.edu.cn,South University of Science and Technology of China
279,swau.edu.cn,Southwest Agricultural University
280,swfc.edu.cn,Southwest Forestry University
281,swjtu.edu.cn,Southwest Jiaotong University
282,swnu.edu.cn,Southwest University
283,swpu.edu.cn,Southwest Petroleum University
284,swsm.cn,Chongqing Normal University Foreign Trade and Business College
285,swufe.edu.cn,Southwest University of Finance and Economics
286,swun.edu.cn,Southwest University of Nationalities
287,swupl.edu.cn,Southwest University of Political Science and Law
288,swust.edu.cn,Southwest University of Science and Technology
289,swuyc.edu.cn,South West University Yucai College
290,sxau.edu.cn,Shanxi Agricultural University
291,sxu.edu.cn,Shanxi University
292,syict.edu.cn,Shenyang Institute of Chemical Technology
293,syphu.edu.cn,Shenyang Pharmaceutical University
294,sypu.edu.cn,Shenyang Polytechnic University
