Rank,University Name,Domain,MX,SPF,DKIM,DMARC
102,Qingdao University,qdu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,True
103,Nanjing University of Posts and Telecommunications,njupt.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,True
104,Putian University,ptu.edu.cn,[<DNS IN MX rdata: 1 mx.spamgateway.cn.>],False,False,False
105,Guangdong University of Foreign Studies,gdufs.edu.cn,[<DNS IN MX rdata: 20 hzmx01.mxmail.netease.com.>],True,False,True
106,Chongqing University of Posts and Telecommunications,cqupt.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,True
107,University of International Business and Economics,uibe.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
108,Jiangxi University of Finance and Economics,jxufe.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,True
109,China Academy of Art,caa.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
110,Xi'an Jiaotong-Liverpool University,xjtlu.edu.cn,[<DNS IN MX rdata: 10 mail.xjtlu.edu.cn.>],True,False,False
111,Shanghai Tech University,shanghaitech.edu.cn,[<DNS IN MX rdata: 5 mail.shanghaitech.edu.cn.>],True,False,True
112,Guangdong University of Technology,gdut.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
113,Tianjin University of Science and Technology,tust.edu.cn,[<DNS IN MX rdata: 5 mail.tust.edu.cn.>],True,False,False
114,Nanjing Medical University,njmu.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
115,Nanjing University of Science and Technology,njust.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
116,Jiangnan University,jiangnan.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
117,Guangxi University,gxu.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
118,Nanjing Forestry University,njfu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
119,Northeast Normal University,nenu.edu.cn,[<DNS IN MX rdata: 5 mxhm.qiye.163.com.>],True,False,True
120,Fujian Normal University,fjnu.edu.cn,[<DNS IN MX rdata: 1 mtagw.fjnu.edu.cn.>],True,False,True
121,Beijing Forestry University,bjfu.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
122,Central University of Finance and Economics,cufe.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,True
123,Anhui Normal University,ahnu.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
124,Anhui University of Finance and Economics,aufe.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],False,False,False
125,Lanzhou University of Technology,lut.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
126,Shanghai University of Engineering Science,sues.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
127,Shaoxing University,usx.edu.cn,[<DNS IN MX rdata: 0 email.usx.edu.cn.>],True,False,True
128,Guangzhou University,gzhu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
129,Dalian University,dlu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
130,Jiaxing University,zjxu.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,True
131,North China Electric Power University,ncepu.edu.cn,[<DNS IN MX rdata: 10 ms84834805.msv1.invalid.>],True,False,False
132,Agricultural University of Hebei,hebau.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
133,Shenyang Institute of Engineering,sie.edu.cn,[<DNS IN MX rdata: 10 mx1.icoremail.net.>],True,False,False
134,Wuhan University of Science and Technology,wust.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
135,Shandong University of Technology,sdut.edu.cn,[<DNS IN MX rdata: 10 smtp.sdut.edu.cn.>],True,False,False
136,Chengdu University of Information Technology,cuit.edu.cn,[<DNS IN MX rdata: 10 mailw.cuit.edu.cn.>],True,False,False
137,Guangxi Normal University,gxnu.edu.cn,[<DNS IN MX rdata: 15 mxhm.qiye.163.com.>],True,False,True
138,China University of Geosciences Beijing,cugb.edu.cn,[<DNS IN MX rdata: 5 mail.cugb.edu.cn.>],True,False,False
139,China University of Political Science and Law,cupl.edu.cn,[<DNS IN MX rdata: 10 mail.cupl.edu.cn.>],True,False,False
140,Shenyang Ligong University,sylu.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,True
141,Northeast Forestry University,nefu.edu.cn,[<DNS IN MX rdata: 1 mx-nefu-edu-cn.icoremail.net.>],True,False,False
142,Taiyuan University of Technology,tyut.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
143,Guizhou University,gzu.edu.cn,[<DNS IN MX rdata: 10 mail.gzu.edu.cn.>],True,False,False
144,Nanjing University of Information Science and Technology,nuist.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
145,Yunnan University,ynu.edu.cn,[<DNS IN MX rdata: 10 mail.ynu.edu.cn.>],True,False,False
146,Beijing University of Technology,bjut.edu.cn,[<DNS IN MX rdata: 10 mx-bjut-edu-cn.icoremail.net.>],True,False,False
147,Hubei University,hubu.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
148,Nanjing Normal University,njnu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
149,Yangtze University,yangtzeu.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
150,Hubei University of Technology,hbut.edu.cn,[<DNS IN MX rdata: 1 mxbiz2.qq.com.>],True,False,False
151,Kunming University of Science and Technology,kmust.edu.cn,[<DNS IN MX rdata: 10 mxmail.icoremail.net.>],False,False,False
152,TaiZhou University,tzc.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
153,China Pharmaceutical University,cpu.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
154,Yunnan Agricultural University,ynau.edu.cn,[<DNS IN MX rdata: 10 mxmail.icoremail.net.>],False,False,False
155,Shanxi University,sxu.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
156,Dongguan University of Technology,dgut.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
157,Shandong University of Science and Technology,sdust.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
158,Hebei University of Technology,hebut.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,False
159,Ningxia University,nxu.edu.cn,[<DNS IN MX rdata: 10 email.nxu.edu.cn.>],True,False,False
160,Zhongnan University of Economics and Law,zuel.edu.cn,[<DNS IN MX rdata: 10 mailserver.zuel.edu.cn.>],True,False,False
161,University of Jinan,ujn.edu.cn,[<DNS IN MX rdata: 5 mx-ujn-edu-cn.icoremail.net.>],True,True,False
162,Hebei Normal University,hebtu.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,True
163,"The University of Nottingham Ningbo, China",nottingham.edu.cn,[<DNS IN MX rdata: 10 nottingham-edu-cn.mail.protection.outlook.com.>],False,False,False
164,Beijing University of Chinese Medicine,bucm.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,True
165,"The Chinese University of Hong Kong, Shenzhen",cuhk.edu.cn,[<DNS IN MX rdata: 10 mail.cuhk.edu.cn.>],True,False,False
166,Fujian Medical University,fjmu.edu.cn,[<DNS IN MX rdata: 10 fjmu.edu.cn.>],True,False,False
167,China University of Petroleum,cup.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
168,Jiangxi Normal University,jxnu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
169,Liaoning University,lnu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
170,Ningbo University,nbu.edu.cn,[<DNS IN MX rdata: 40 smtp.nbu.edu.cn.>],True,False,True
171,Qingdao University of Science and Technology,qust.edu.cn,[<DNS IN MX rdata: 10 mail.qust.edu.cn.>],True,False,False
172,Nanjing Tech University,njtech.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,True
173,Sichuan Agricultural University,sicau.edu.cn,[<DNS IN MX rdata: 90 mxmail.icoremail.net.>],True,False,False
174,Nantong University,ntu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,True
175,Wenzhou University,wzu.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
176,Hubei University of Automotive Technology,huat.edu.cn,[<DNS IN MX rdata: 5 mxhm.qiye.163.com.>],False,False,False
177,Northwest Normal University,nwnu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],False,False,False
178,Beijing International Studies University,bisu.edu.cn,[<DNS IN MX rdata: 10 mail.bisu.edu.cn.>],True,False,False
179,XiangTan University,xtu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
180,Southern Medical University,smu.edu.cn,[<DNS IN MX rdata: 10 mail.smu.edu.cn.>],True,False,False
181,National University of Defense Technology,nudt.edu.cn,[<DNS IN MX rdata: 5 mx-nudt-edu-cn.icoremail.net.>],True,False,False
182,Tianjin Foreign Studies University,tjfsu.edu.cn,[<DNS IN MX rdata: 5 qiye163mx01.mxmail.netease.com.>],True,False,False
183,Qilu University of Technology,qlu.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,True
184,Shanghai Ocean University,shou.edu.cn,[<DNS IN MX rdata: 10 mail.shou.edu.cn.>],True,False,False
185,Hangzhou Dianzi University,hdu.edu.cn,[<DNS IN MX rdata: 5 hzmx01.mxmail.netease.com.>],True,False,True
186,Sichuan University of Science and Engineering,suse.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,True
187,Changsha University of Science and Technology,csust.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,True
188,Shanghai Lixin University of Accounting and Finance,lixin.edu.cn,[<DNS IN MX rdata: 20 mail.lixin.edu.cn.>],True,False,False
189,Guangdong Ocean University,gdou.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
190,Capital Normal University,cnu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],False,False,False
191,Inner Mongolia University,imu.edu.cn,[<DNS IN MX rdata: 10 hzmx02.mxmail.netease.com.>],True,False,False
192,Xiamen University of Technology,xmut.edu.cn,[<DNS IN MX rdata: 1 xmut.abroad.eyou.net.>],True,False,True
193,Hunan Institute of Science and Technology,hnist.cn,[],False,False,False
194,Chengdu University of Technology,cdut.edu.cn,[<DNS IN MX rdata: 10 mx-cdut-edu-cn.icoremail.net.>],True,True,True
195,Gansu Agricultural University,gsau.edu.cn,[<DNS IN MX rdata: 5 mail.gsau.edu.cn.>],True,False,False
196,Tianjin Normal University,tjnu.edu.cn,[<DNS IN MX rdata: 5 mail.tjnu.edu.cn.>],True,False,False
197,Zhejiang University of Finance and Economics,zufe.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
198,Central Conservatory of Music,ccom.edu.cn,[<DNS IN MX rdata: 5 mxbiz1.qq.com.>],True,False,False
199,Shanghai Normal University,shnu.edu.cn,[<DNS IN MX rdata: 10 mxbiz2.qq.com.>],True,False,False
200,Hunan Agricultural University,hunau.edu.cn,[<DNS IN MX rdata: 15 mxbiz1.qq.com.>],True,False,False
201,Anhui Medical University,ahmu.edu.cn,[<DNS IN MX rdata: 10 mail.ahmu.edu.cn.>],True,False,False
202,Harbin Normal University,hrbnu.edu.cn,[<DNS IN MX rdata: 5 mxhm.qiye.163.com.>],True,False,True
